{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 1], [train loss 6.46614], [loss_fuse 0.71347], [loss1_h2l 0.71632], [loss2_h2l 0.71548], [loss3_h2l 0.70619], [loss4_h2l 0.71078], [loss1_l2h 0.72830], [loss2_l2h 0.72313], [loss3_l2h 0.71775], [loss4_l2h 0.71633], [lr 0.0050000000000], [loss_con 0.00919]
[iter 2], [train loss 6.41116], [loss_fuse 0.70832], [loss1_h2l 0.71465], [loss2_h2l 0.71519], [loss3_h2l 0.70462], [loss4_h2l 0.71084], [loss1_l2h 0.71374], [loss2_l2h 0.71227], [loss3_l2h 0.70841], [loss4_l2h 0.70716], [lr 0.0049988749859], [loss_con 0.00797]
[iter 3], [train loss 6.31479], [loss_fuse 0.69880], [loss1_h2l 0.70246], [loss2_h2l 0.70164], [loss3_h2l 0.69959], [loss4_h2l 0.69787], [loss1_l2h 0.70315], [loss2_l2h 0.70080], [loss3_l2h 0.69897], [loss4_l2h 0.69985], [lr 0.0049977499437], [loss_con 0.00583]
[iter 4], [train loss 6.16394], [loss_fuse 0.68266], [loss1_h2l 0.68702], [loss2_h2l 0.68519], [loss3_h2l 0.68515], [loss4_h2l 0.68328], [loss1_l2h 0.68248], [loss2_l2h 0.68303], [loss3_l2h 0.68152], [loss4_l2h 0.68208], [lr 0.0049966248734], [loss_con 0.00576]
[iter 5], [train loss 5.99848], [loss_fuse 0.66444], [loss1_h2l 0.66753], [loss2_h2l 0.66503], [loss3_h2l 0.66473], [loss4_h2l 0.66393], [loss1_l2h 0.66326], [loss2_l2h 0.66470], [loss3_l2h 0.66387], [loss4_l2h 0.66455], [lr 0.0049954997749], [loss_con 0.00822]
[iter 6], [train loss 5.79339], [loss_fuse 0.64315], [loss1_h2l 0.64595], [loss2_h2l 0.64313], [loss3_h2l 0.64066], [loss4_h2l 0.63885], [loss1_l2h 0.63881], [loss2_l2h 0.64198], [loss3_l2h 0.64143], [loss4_l2h 0.64195], [lr 0.0049943746483], [loss_con 0.00875]
[iter 7], [train loss 5.61357], [loss_fuse 0.62396], [loss1_h2l 0.62712], [loss2_h2l 0.62423], [loss3_h2l 0.62106], [loss4_h2l 0.62031], [loss1_l2h 0.61597], [loss2_l2h 0.62130], [loss3_l2h 0.62090], [loss4_l2h 0.62139], [lr 0.0049932494935], [loss_con 0.00865]
[iter 8], [train loss 5.40682], [loss_fuse 0.60123], [loss1_h2l 0.60375], [loss2_h2l 0.60095], [loss3_h2l 0.59757], [loss4_h2l 0.59638], [loss1_l2h 0.59332], [loss2_l2h 0.59884], [loss3_l2h 0.59808], [loss4_l2h 0.59841], [lr 0.0049921243105], [loss_con 0.00914]
[iter 9], [train loss 5.20668], [loss_fuse 0.57929], [loss1_h2l 0.58162], [loss2_h2l 0.57883], [loss3_h2l 0.57485], [loss4_h2l 0.57431], [loss1_l2h 0.57033], [loss2_l2h 0.57646], [loss3_l2h 0.57568], [loss4_l2h 0.57600], [lr 0.0049909990993], [loss_con 0.00967]
[iter 10], [train loss 5.06803], [loss_fuse 0.56466], [loss1_h2l 0.56668], [loss2_h2l 0.56398], [loss3_h2l 0.55992], [loss4_h2l 0.55951], [loss1_l2h 0.55334], [loss2_l2h 0.56046], [loss3_l2h 0.55985], [loss4_l2h 0.56021], [lr 0.0049898738600], [loss_con 0.00972]
[iter 11], [train loss 4.87881], [loss_fuse 0.54387], [loss1_h2l 0.54528], [loss2_h2l 0.54254], [loss3_h2l 0.53829], [loss4_h2l 0.53875], [loss1_l2h 0.53222], [loss2_l2h 0.53934], [loss3_l2h 0.53901], [loss4_l2h 0.53952], [lr 0.0049887485925], [loss_con 0.01000]
[iter 12], [train loss 4.74125], [loss_fuse 0.52924], [loss1_h2l 0.53036], [loss2_h2l 0.52782], [loss3_h2l 0.52333], [loss4_h2l 0.52362], [loss1_l2h 0.51627], [loss2_l2h 0.52351], [loss3_l2h 0.52317], [loss4_l2h 0.52384], [lr 0.0049876232967], [loss_con 0.01004]
[iter 13], [train loss 4.66310], [loss_fuse 0.52089], [loss1_h2l 0.52205], [loss2_h2l 0.51996], [loss3_h2l 0.51637], [loss4_h2l 0.51619], [loss1_l2h 0.50628], [loss2_l2h 0.51349], [loss3_l2h 0.51354], [loss4_l2h 0.51433], [lr 0.0049864979728], [loss_con 0.01001]
[iter 14], [train loss 4.50818], [loss_fuse 0.50397], [loss1_h2l 0.50485], [loss2_h2l 0.50263], [loss3_h2l 0.49869], [loss4_h2l 0.49867], [loss1_l2h 0.48941], [loss2_l2h 0.49652], [loss3_l2h 0.49637], [loss4_l2h 0.49721], [lr 0.0049853726206], [loss_con 0.00993]
[iter 15], [train loss 4.43583], [loss_fuse 0.49647], [loss1_h2l 0.49646], [loss2_h2l 0.49414], [loss3_h2l 0.48978], [loss4_h2l 0.48932], [loss1_l2h 0.48215], [loss2_l2h 0.48894], [loss3_l2h 0.48893], [loss4_l2h 0.48992], [lr 0.0049842472402], [loss_con 0.00986]
[iter 16], [train loss 4.36747], [loss_fuse 0.48915], [loss1_h2l 0.48885], [loss2_h2l 0.48668], [loss3_h2l 0.48238], [loss4_h2l 0.48173], [loss1_l2h 0.47517], [loss2_l2h 0.48138], [loss3_l2h 0.48129], [loss4_l2h 0.48227], [lr 0.0049831218316], [loss_con 0.00929]
