{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 19], [train loss 4.39187], [loss_fuse 0.47886], [loss1_h2l 0.48284], [loss2_h2l 0.48077], [loss3_h2l 0.47880], [loss4_h2l 0.47993], [loss1_l2h 0.49038], [loss2_l2h 0.49248], [loss3_l2h 0.49369], [loss4_l2h 0.49519], [lr 0.0049797454362], [loss_con 0.01894]
[iter 20], [train loss 4.31722], [loss_fuse 0.46964], [loss1_h2l 0.47522], [loss2_h2l 0.47307], [loss3_h2l 0.47102], [loss4_h2l 0.47209], [loss1_l2h 0.48209], [loss2_l2h 0.48398], [loss3_l2h 0.48533], [loss4_l2h 0.48662], [lr 0.0049786199146], [loss_con 0.01816]
[iter 21], [train loss 4.26096], [loss_fuse 0.46286], [loss1_h2l 0.46917], [loss2_h2l 0.46703], [loss3_h2l 0.46504], [loss4_h2l 0.46695], [loss1_l2h 0.47543], [loss2_l2h 0.47728], [loss3_l2h 0.47886], [loss4_l2h 0.48007], [lr 0.0049774943647], [loss_con 0.01826]
[iter 22], [train loss 4.24486], [loss_fuse 0.45961], [loss1_h2l 0.46824], [loss2_h2l 0.46615], [loss3_h2l 0.46416], [loss4_h2l 0.46627], [loss1_l2h 0.47300], [loss2_l2h 0.47472], [loss3_l2h 0.47647], [loss4_l2h 0.47758], [lr 0.0049763687865], [loss_con 0.01866]
[iter 23], [train loss 4.31801], [loss_fuse 0.46689], [loss1_h2l 0.47803], [loss2_h2l 0.47616], [loss3_h2l 0.47450], [loss4_h2l 0.47598], [loss1_l2h 0.47836], [loss2_l2h 0.48129], [loss3_l2h 0.48355], [loss4_l2h 0.48437], [lr 0.0049752431800], [loss_con 0.01887]
[iter 24], [train loss 4.27941], [loss_fuse 0.46171], [loss1_h2l 0.47388], [loss2_h2l 0.47204], [loss3_h2l 0.47049], [loss4_h2l 0.47205], [loss1_l2h 0.47425], [loss2_l2h 0.47675], [loss3_l2h 0.47920], [loss4_l2h 0.48002], [lr 0.0049741175452], [loss_con 0.01902]
[iter 25], [train loss 4.21177], [loss_fuse 0.45287], [loss1_h2l 0.46677], [loss2_h2l 0.46485], [loss3_h2l 0.46345], [loss4_h2l 0.46465], [loss1_l2h 0.46701], [loss2_l2h 0.46918], [loss3_l2h 0.47158], [loss4_l2h 0.47231], [lr 0.0049729918821], [loss_con 0.01910]
[iter 26], [train loss 4.16243], [loss_fuse 0.44642], [loss1_h2l 0.46191], [loss2_h2l 0.46004], [loss3_h2l 0.45864], [loss4_h2l 0.46010], [loss1_l2h 0.46117], [loss2_l2h 0.46330], [loss3_l2h 0.46573], [loss4_l2h 0.46648], [lr 0.0049718661907], [loss_con 0.01865]
[iter 27], [train loss 4.11309], [loss_fuse 0.43946], [loss1_h2l 0.45716], [loss2_h2l 0.45506], [loss3_h2l 0.45387], [loss4_h2l 0.45498], [loss1_l2h 0.45560], [loss2_l2h 0.45746], [loss3_l2h 0.45987], [loss4_l2h 0.46051], [lr 0.0049707404710], [loss_con 0.01913]
[iter 28], [train loss 4.07215], [loss_fuse 0.43374], [loss1_h2l 0.45303], [loss2_h2l 0.45070], [loss3_h2l 0.44968], [loss4_h2l 0.45027], [loss1_l2h 0.45112], [loss2_l2h 0.45280], [loss3_l2h 0.45514], [loss4_l2h 0.45578], [lr 0.0049696147230], [loss_con 0.01989]
[iter 29], [train loss 4.01460], [loss_fuse 0.42621], [loss1_h2l 0.44732], [loss2_h2l 0.44482], [loss3_h2l 0.44408], [loss4_h2l 0.44433], [loss1_l2h 0.44455], [loss2_l2h 0.44593], [loss3_l2h 0.44827], [loss4_l2h 0.44885], [lr 0.0049684889466], [loss_con 0.02024]
[iter 30], [train loss 3.93673], [loss_fuse 0.41722], [loss1_h2l 0.43914], [loss2_h2l 0.43654], [loss3_h2l 0.43593], [loss4_h2l 0.43620], [loss1_l2h 0.43572], [loss2_l2h 0.43684], [loss3_l2h 0.43908], [loss4_l2h 0.43963], [lr 0.0049673631419], [loss_con 0.02043]
[iter 31], [train loss 3.91225], [loss_fuse 0.41322], [loss1_h2l 0.43736], [loss2_h2l 0.43451], [loss3_h2l 0.43397], [loss4_h2l 0.43445], [loss1_l2h 0.43267], [loss2_l2h 0.43372], [loss3_l2h 0.43587], [loss4_l2h 0.43648], [lr 0.0049662373088], [loss_con 0.01998]
[iter 32], [train loss 3.89644], [loss_fuse 0.41102], [loss1_h2l 0.43452], [loss2_h2l 0.43168], [loss3_h2l 0.43113], [loss4_h2l 0.43146], [loss1_l2h 0.43183], [loss2_l2h 0.43300], [loss3_l2h 0.43505], [loss4_l2h 0.43556], [lr 0.0049651114474], [loss_con 0.02120]
[iter 33], [train loss 3.84685], [loss_fuse 0.40492], [loss1_h2l 0.42938], [loss2_h2l 0.42648], [loss3_h2l 0.42616], [loss4_h2l 0.42646], [loss1_l2h 0.42616], [loss2_l2h 0.42702], [loss3_l2h 0.42896], [loss4_l2h 0.42938], [lr 0.0049639855576], [loss_con 0.02193]
[iter 34], [train loss 3.80313], [loss_fuse 0.39942], [loss1_h2l 0.42448], [loss2_h2l 0.42145], [loss3_h2l 0.42126], [loss4_h2l 0.42149], [loss1_l2h 0.42147], [loss2_l2h 0.42215], [loss3_l2h 0.42399], [loss4_l2h 0.42439], [lr 0.0049628596394], [loss_con 0.02302]
[iter 35], [train loss 3.75749], [loss_fuse 0.39398], [loss1_h2l 0.41978], [loss2_h2l 0.41668], [loss3_h2l 0.41666], [loss4_h2l 0.41706], [loss1_l2h 0.41653], [loss2_l2h 0.41666], [loss3_l2h 0.41855], [loss4_l2h 0.41886], [lr 0.0049617336929], [loss_con 0.02272]
[iter 36], [train loss 3.70333], [loss_fuse 0.38803], [loss1_h2l 0.41364], [loss2_h2l 0.41052], [loss3_h2l 0.41068], [loss4_h2l 0.41092], [loss1_l2h 0.41087], [loss2_l2h 0.41054], [loss3_l2h 0.41238], [loss4_l2h 0.41263], [lr 0.0049606077179], [loss_con 0.02312]
[iter 37], [train loss 3.68989], [loss_fuse 0.38638], [loss1_h2l 0.41206], [loss2_h2l 0.40902], [loss3_h2l 0.40919], [loss4_h2l 0.40988], [loss1_l2h 0.40907], [loss2_l2h 0.40858], [loss3_l2h 0.41061], [loss4_l2h 0.41103], [lr 0.0049594817146], [loss_con 0.02406]
[iter 38], [train loss 3.67545], [loss_fuse 0.38486], [loss1_h2l 0.41044], [loss2_h2l 0.40753], [loss3_h2l 0.40749], [loss4_h2l 0.40881], [loss1_l2h 0.40703], [loss2_l2h 0.40656], [loss3_l2h 0.40859], [loss4_l2h 0.40911], [lr 0.0049583556828], [loss_con 0.02503]
[iter 39], [train loss 3.66986], [loss_fuse 0.38418], [loss1_h2l 0.40957], [loss2_h2l 0.40672], [loss3_h2l 0.40654], [loss4_h2l 0.40795], [loss1_l2h 0.40625], [loss2_l2h 0.40597], [loss3_l2h 0.40806], [loss4_l2h 0.40865], [lr 0.0049572296227], [loss_con 0.02597]
[iter 40], [train loss 3.62766], [loss_fuse 0.37972], [loss1_h2l 0.40474], [loss2_h2l 0.40186], [loss3_h2l 0.40177], [loss4_h2l 0.40350], [loss1_l2h 0.40165], [loss2_l2h 0.40117], [loss3_l2h 0.40324], [loss4_l2h 0.40383], [lr 0.0049561035341], [loss_con 0.02618]
[iter 41], [train loss 3.57932], [loss_fuse 0.37445], [loss1_h2l 0.39946], [loss2_h2l 0.39661], [loss3_h2l 0.39657], [loss4_h2l 0.39865], [loss1_l2h 0.39643], [loss2_l2h 0.39545], [loss3_l2h 0.39745], [loss4_l2h 0.39797], [lr 0.0049549774171], [loss_con 0.02628]
[iter 42], [train loss 3.54430], [loss_fuse 0.37037], [loss1_h2l 0.39523], [loss2_h2l 0.39247], [loss3_h2l 0.39251], [loss4_h2l 0.39549], [loss1_l2h 0.39269], [loss2_l2h 0.39152], [loss3_l2h 0.39322], [loss4_l2h 0.39384], [lr 0.0049538512716], [loss_con 0.02696]
