{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 1], [train loss 6.31908], [loss_fuse 0.70099], [loss1_h2l 0.70475], [loss2_h2l 0.70422], [loss3_h2l 0.70160], [loss4_h2l 0.69197], [loss1_l2h 0.70818], [loss2_l2h 0.70283], [loss3_l2h 0.70185], [loss4_l2h 0.70269], [lr 0.0050000000000]
[iter 2], [train loss 6.23531], [loss_fuse 0.69261], [loss1_h2l 0.69707], [loss2_h2l 0.69616], [loss3_h2l 0.69053], [loss4_h2l 0.67788], [loss1_l2h 0.69831], [loss2_l2h 0.69492], [loss3_l2h 0.69342], [loss4_l2h 0.69440], [lr 0.0049988749859]
[iter 3], [train loss 6.11731], [loss_fuse 0.67900], [loss1_h2l 0.68438], [loss2_h2l 0.68164], [loss3_h2l 0.67781], [loss4_h2l 0.66760], [loss1_l2h 0.68587], [loss2_l2h 0.68046], [loss3_l2h 0.67946], [loss4_l2h 0.68109], [lr 0.0049977499437]
[iter 4], [train loss 6.01785], [loss_fuse 0.66768], [loss1_h2l 0.67430], [loss2_h2l 0.67064], [loss3_h2l 0.66790], [loss4_h2l 0.65957], [loss1_l2h 0.67370], [loss2_l2h 0.66768], [loss3_l2h 0.66728], [loss4_l2h 0.66911], [lr 0.0049966248734]
[iter 5], [train loss 5.91323], [loss_fuse 0.65690], [loss1_h2l 0.66325], [loss2_h2l 0.65941], [loss3_h2l 0.65707], [loss4_h2l 0.64644], [loss1_l2h 0.65948], [loss2_l2h 0.65594], [loss3_l2h 0.65638], [loss4_l2h 0.65837], [lr 0.0049954997749]
[iter 6], [train loss 5.75149], [loss_fuse 0.63879], [loss1_h2l 0.64568], [loss2_h2l 0.64179], [loss3_h2l 0.63919], [loss4_h2l 0.62939], [loss1_l2h 0.63918], [loss2_l2h 0.63757], [loss3_l2h 0.63885], [loss4_l2h 0.64105], [lr 0.0049943746483]
[iter 7], [train loss 5.53697], [loss_fuse 0.61435], [loss1_h2l 0.62236], [loss2_h2l 0.61846], [loss3_h2l 0.61544], [loss4_h2l 0.60756], [loss1_l2h 0.61382], [loss2_l2h 0.61317], [loss3_l2h 0.61467], [loss4_l2h 0.61713], [lr 0.0049932494935]
[iter 8], [train loss 5.34671], [loss_fuse 0.59326], [loss1_h2l 0.60120], [loss2_h2l 0.59737], [loss3_h2l 0.59419], [loss4_h2l 0.58670], [loss1_l2h 0.59199], [loss2_l2h 0.59180], [loss3_l2h 0.59367], [loss4_l2h 0.59654], [lr 0.0049921243105]
[iter 9], [train loss 5.23299], [loss_fuse 0.58118], [loss1_h2l 0.58926], [loss2_h2l 0.58520], [loss3_h2l 0.58212], [loss4_h2l 0.57438], [loss1_l2h 0.57754], [loss2_l2h 0.57849], [loss3_l2h 0.58094], [loss4_l2h 0.58388], [lr 0.0049909990993]
[iter 10], [train loss 5.15024], [loss_fuse 0.57307], [loss1_h2l 0.58113], [loss2_h2l 0.57639], [loss3_h2l 0.57261], [loss4_h2l 0.56439], [loss1_l2h 0.56616], [loss2_l2h 0.56920], [loss3_l2h 0.57225], [loss4_l2h 0.57504], [lr 0.0049898738600]
[iter 11], [train loss 5.04798], [loss_fuse 0.56226], [loss1_h2l 0.57066], [loss2_h2l 0.56607], [loss3_h2l 0.56235], [loss4_h2l 0.55339], [loss1_l2h 0.55326], [loss2_l2h 0.55680], [loss3_l2h 0.56004], [loss4_l2h 0.56315], [lr 0.0049887485925]
