{'iter_num': 5000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 21], [train loss 4.17275], [loss_fuse 0.45931], [loss1_h2l 0.46910], [loss2_h2l 0.46590], [loss3_h2l 0.46412], [loss4_h2l 0.46093], [loss1_l2h 0.45514], [loss2_l2h 0.46196], [loss3_l2h 0.46625], [loss4_l2h 0.47004], [lr 0.0049819963947]
[iter 22], [train loss 4.11096], [loss_fuse 0.45219], [loss1_h2l 0.46248], [loss2_h2l 0.45921], [loss3_h2l 0.45727], [loss4_h2l 0.45427], [loss1_l2h 0.44852], [loss2_l2h 0.45488], [loss3_l2h 0.45917], [loss4_l2h 0.46298], [lr 0.0049810960249]
[iter 23], [train loss 4.02520], [loss_fuse 0.44219], [loss1_h2l 0.45308], [loss2_h2l 0.44982], [loss3_h2l 0.44805], [loss4_h2l 0.44480], [loss1_l2h 0.43941], [loss2_l2h 0.44517], [loss3_l2h 0.44941], [loss4_l2h 0.45327], [lr 0.0049801956370]
[iter 24], [train loss 3.96567], [loss_fuse 0.43522], [loss1_h2l 0.44628], [loss2_h2l 0.44304], [loss3_h2l 0.44140], [loss4_h2l 0.43807], [loss1_l2h 0.43312], [loss2_l2h 0.43871], [loss3_l2h 0.44296], [loss4_l2h 0.44687], [lr 0.0049792952310]
[iter 25], [train loss 3.91907], [loss_fuse 0.42965], [loss1_h2l 0.44035], [loss2_h2l 0.43711], [loss3_h2l 0.43557], [loss4_h2l 0.43233], [loss1_l2h 0.42891], [loss2_l2h 0.43433], [loss3_l2h 0.43851], [loss4_l2h 0.44230], [lr 0.0049783948069]
[iter 26], [train loss 3.88983], [loss_fuse 0.42607], [loss1_h2l 0.43740], [loss2_h2l 0.43414], [loss3_h2l 0.43249], [loss4_h2l 0.42991], [loss1_l2h 0.42555], [loss2_l2h 0.43075], [loss3_l2h 0.43487], [loss4_l2h 0.43864], [lr 0.0049774943647]
[iter 27], [train loss 3.87114], [loss_fuse 0.42366], [loss1_h2l 0.43484], [loss2_h2l 0.43164], [loss3_h2l 0.42999], [loss4_h2l 0.42772], [loss1_l2h 0.42394], [loss2_l2h 0.42922], [loss3_l2h 0.43331], [loss4_l2h 0.43683], [lr 0.0049765939044]
[iter 28], [train loss 3.81384], [loss_fuse 0.41704], [loss1_h2l 0.42939], [loss2_h2l 0.42622], [loss3_h2l 0.42467], [loss4_h2l 0.42290], [loss1_l2h 0.41668], [loss2_l2h 0.42183], [loss3_l2h 0.42574], [loss4_l2h 0.42937], [lr 0.0049756934260]
[iter 29], [train loss 3.78252], [loss_fuse 0.41337], [loss1_h2l 0.42589], [loss2_h2l 0.42268], [loss3_h2l 0.42116], [loss4_h2l 0.42012], [loss1_l2h 0.41326], [loss2_l2h 0.41820], [loss3_l2h 0.42215], [loss4_l2h 0.42569], [lr 0.0049747929295]
[iter 30], [train loss 3.80530], [loss_fuse 0.41703], [loss1_h2l 0.42948], [loss2_h2l 0.42636], [loss3_h2l 0.42469], [loss4_h2l 0.42398], [loss1_l2h 0.41321], [loss2_l2h 0.41925], [loss3_l2h 0.42387], [loss4_l2h 0.42743], [lr 0.0049738924149]
