{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 1], [train loss 6.29093], [loss_fuse 0.69021], [loss1_h2l 0.69449], [loss2_h2l 0.69499], [loss3_h2l 0.69966], [loss4_h2l 0.70401], [loss1_l2h 0.70694], [loss2_l2h 0.70072], [loss3_l2h 0.69792], [loss4_l2h 0.69656], [lr 0.0050000000000], [loss_con 0.00272]
[iter 2], [train loss 6.17154], [loss_fuse 0.68088], [loss1_h2l 0.68546], [loss2_h2l 0.68399], [loss3_h2l 0.68117], [loss4_h2l 0.68154], [loss1_l2h 0.69170], [loss2_l2h 0.68862], [loss3_l2h 0.68640], [loss4_l2h 0.68630], [lr 0.0049988749859], [loss_con 0.00274]
[iter 3], [train loss 6.04575], [loss_fuse 0.66445], [loss1_h2l 0.67215], [loss2_h2l 0.67138], [loss3_h2l 0.67278], [loss4_h2l 0.67459], [loss1_l2h 0.67521], [loss2_l2h 0.67094], [loss3_l2h 0.66948], [loss4_l2h 0.66937], [lr 0.0049977499437], [loss_con 0.00270]
[iter 4], [train loss 5.92458], [loss_fuse 0.64928], [loss1_h2l 0.65927], [loss2_h2l 0.65904], [loss3_h2l 0.65948], [loss4_h2l 0.66558], [loss1_l2h 0.66027], [loss2_l2h 0.65708], [loss3_l2h 0.65473], [loss4_l2h 0.65458], [lr 0.0049966248734], [loss_con 0.00263]
[iter 5], [train loss 5.78823], [loss_fuse 0.63351], [loss1_h2l 0.64861], [loss2_h2l 0.64762], [loss3_h2l 0.64695], [loss4_h2l 0.65130], [loss1_l2h 0.64056], [loss2_l2h 0.64013], [loss3_l2h 0.63717], [loss4_l2h 0.63711], [lr 0.0049954997749], [loss_con 0.00264]
[iter 6], [train loss 5.56700], [loss_fuse 0.60687], [loss1_h2l 0.62411], [loss2_h2l 0.62384], [loss3_h2l 0.62401], [loss4_h2l 0.62654], [loss1_l2h 0.61634], [loss2_l2h 0.61584], [loss3_l2h 0.61224], [loss4_l2h 0.61196], [lr 0.0049943746483], [loss_con 0.00262]
[iter 7], [train loss 5.46729], [loss_fuse 0.59553], [loss1_h2l 0.61845], [loss2_h2l 0.61765], [loss3_h2l 0.61743], [loss4_h2l 0.61679], [loss1_l2h 0.59873], [loss2_l2h 0.60115], [loss3_l2h 0.59787], [loss4_l2h 0.59826], [lr 0.0049932494935], [loss_con 0.00271]
[iter 8], [train loss 5.27310], [loss_fuse 0.57323], [loss1_h2l 0.59791], [loss2_h2l 0.59728], [loss3_h2l 0.59579], [loss4_h2l 0.59414], [loss1_l2h 0.57651], [loss2_l2h 0.57954], [loss3_l2h 0.57636], [loss4_l2h 0.57694], [lr 0.0049921243105], [loss_con 0.00270]
[iter 9], [train loss 5.15389], [loss_fuse 0.56119], [loss1_h2l 0.58360], [loss2_h2l 0.58312], [loss3_h2l 0.58124], [loss4_h2l 0.57947], [loss1_l2h 0.56211], [loss2_l2h 0.56638], [loss3_l2h 0.56503], [loss4_l2h 0.56632], [lr 0.0049909990993], [loss_con 0.00271]
[iter 10], [train loss 4.97081], [loss_fuse 0.53985], [loss1_h2l 0.56531], [loss2_h2l 0.56502], [loss3_h2l 0.56252], [loss4_h2l 0.55892], [loss1_l2h 0.54075], [loss2_l2h 0.54489], [loss3_l2h 0.54333], [loss4_l2h 0.54481], [lr 0.0049898738600], [loss_con 0.00271]
[iter 11], [train loss 4.77159], [loss_fuse 0.51705], [loss1_h2l 0.54372], [loss2_h2l 0.54296], [loss3_h2l 0.53988], [loss4_h2l 0.53569], [loss1_l2h 0.51924], [loss2_l2h 0.52305], [loss3_l2h 0.52154], [loss4_l2h 0.52304], [lr 0.0049887485925], [loss_con 0.00271]
