{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 1], [train loss 6.44801], [loss_fuse 0.71063], [loss1_h2l 0.71536], [loss2_h2l 0.71418], [loss3_h2l 0.71531], [loss4_h2l 0.73897], [loss1_l2h 0.72211], [loss2_l2h 0.70868], [loss3_l2h 0.70970], [loss4_l2h 0.71102], [lr 0.0050000000000], [loss_con 0.00206]
[iter 2], [train loss 6.38949], [loss_fuse 0.70370], [loss1_h2l 0.70619], [loss2_h2l 0.70753], [loss3_h2l 0.70775], [loss4_h2l 0.72386], [loss1_l2h 0.71850], [loss2_l2h 0.70687], [loss3_l2h 0.70643], [loss4_l2h 0.70662], [lr 0.0049988749859], [loss_con 0.00205]
[iter 3], [train loss 6.27521], [loss_fuse 0.69210], [loss1_h2l 0.69719], [loss2_h2l 0.69657], [loss3_h2l 0.69794], [loss4_h2l 0.70898], [loss1_l2h 0.70263], [loss2_l2h 0.69275], [loss3_l2h 0.69203], [loss4_l2h 0.69282], [lr 0.0049977499437], [loss_con 0.00219]
[iter 4], [train loss 6.09472], [loss_fuse 0.67242], [loss1_h2l 0.67690], [loss2_h2l 0.67515], [loss3_h2l 0.67637], [loss4_h2l 0.68709], [loss1_l2h 0.68217], [loss2_l2h 0.67441], [loss3_l2h 0.67358], [loss4_l2h 0.67447], [lr 0.0049966248734], [loss_con 0.00215]
[iter 5], [train loss 5.92064], [loss_fuse 0.65372], [loss1_h2l 0.65667], [loss2_h2l 0.65492], [loss3_h2l 0.65712], [loss4_h2l 0.66603], [loss1_l2h 0.66217], [loss2_l2h 0.65545], [loss3_l2h 0.65535], [loss4_l2h 0.65713], [lr 0.0049954997749], [loss_con 0.00209]
[iter 6], [train loss 5.74369], [loss_fuse 0.63441], [loss1_h2l 0.63795], [loss2_h2l 0.63617], [loss3_h2l 0.63786], [loss4_h2l 0.64456], [loss1_l2h 0.64045], [loss2_l2h 0.63584], [loss3_l2h 0.63598], [loss4_l2h 0.63836], [lr 0.0049943746483], [loss_con 0.00211]
[iter 7], [train loss 5.50901], [loss_fuse 0.60845], [loss1_h2l 0.61245], [loss2_h2l 0.61038], [loss3_h2l 0.61164], [loss4_h2l 0.61555], [loss1_l2h 0.61507], [loss2_l2h 0.61002], [loss3_l2h 0.61044], [loss4_l2h 0.61281], [lr 0.0049932494935], [loss_con 0.00219]
[iter 8], [train loss 5.32078], [loss_fuse 0.58747], [loss1_h2l 0.59162], [loss2_h2l 0.58966], [loss3_h2l 0.59093], [loss4_h2l 0.59371], [loss1_l2h 0.59445], [loss2_l2h 0.58906], [loss3_l2h 0.58966], [loss4_l2h 0.59196], [lr 0.0049921243105], [loss_con 0.00228]
[iter 9], [train loss 5.18891], [loss_fuse 0.57223], [loss1_h2l 0.57848], [loss2_h2l 0.57625], [loss3_h2l 0.57670], [loss4_h2l 0.57924], [loss1_l2h 0.57878], [loss2_l2h 0.57350], [loss3_l2h 0.57445], [loss4_l2h 0.57698], [lr 0.0049909990993], [loss_con 0.00230]
[iter 10], [train loss 5.06693], [loss_fuse 0.55826], [loss1_h2l 0.56749], [loss2_h2l 0.56465], [loss3_h2l 0.56468], [loss4_h2l 0.56642], [loss1_l2h 0.56342], [loss2_l2h 0.55825], [loss3_l2h 0.55936], [loss4_l2h 0.56210], [lr 0.0049898738600], [loss_con 0.00229]
[iter 11], [train loss 4.84858], [loss_fuse 0.53410], [loss1_h2l 0.54269], [loss2_h2l 0.53969], [loss3_h2l 0.53960], [loss4_h2l 0.54141], [loss1_l2h 0.53967], [loss2_l2h 0.53455], [loss3_l2h 0.53587], [loss4_l2h 0.53858], [lr 0.0049887485925], [loss_con 0.00240]
[iter 12], [train loss 4.77208], [loss_fuse 0.52515], [loss1_h2l 0.53483], [loss2_h2l 0.53156], [loss3_h2l 0.53132], [loss4_h2l 0.53393], [loss1_l2h 0.53105], [loss2_l2h 0.52537], [loss3_l2h 0.52686], [loss4_l2h 0.52962], [lr 0.0049876232967], [loss_con 0.00240]
[iter 13], [train loss 4.66782], [loss_fuse 0.51335], [loss1_h2l 0.52361], [loss2_h2l 0.52048], [loss3_h2l 0.52067], [loss4_h2l 0.52276], [loss1_l2h 0.51868], [loss2_l2h 0.51317], [loss3_l2h 0.51495], [loss4_l2h 0.51774], [lr 0.0049864979728], [loss_con 0.00239]
[iter 14], [train loss 4.56972], [loss_fuse 0.50232], [loss1_h2l 0.51323], [loss2_h2l 0.50965], [loss3_h2l 0.51012], [loss4_h2l 0.51203], [loss1_l2h 0.50759], [loss2_l2h 0.50201], [loss3_l2h 0.50382], [loss4_l2h 0.50662], [lr 0.0049853726206], [loss_con 0.00233]
[iter 15], [train loss 4.59341], [loss_fuse 0.50447], [loss1_h2l 0.51724], [loss2_h2l 0.51361], [loss3_h2l 0.51291], [loss4_h2l 0.51831], [loss1_l2h 0.50906], [loss2_l2h 0.50265], [loss3_l2h 0.50482], [loss4_l2h 0.50792], [lr 0.0049842472402], [loss_con 0.00243]
[iter 16], [train loss 4.54125], [loss_fuse 0.49823], [loss1_h2l 0.51130], [loss2_h2l 0.50766], [loss3_h2l 0.50662], [loss4_h2l 0.51228], [loss1_l2h 0.50315], [loss2_l2h 0.49727], [loss3_l2h 0.49957], [loss4_l2h 0.50265], [lr 0.0049831218316], [loss_con 0.00251]
[iter 17], [train loss 4.51668], [loss_fuse 0.49471], [loss1_h2l 0.50920], [loss2_h2l 0.50528], [loss3_h2l 0.50451], [loss4_h2l 0.50952], [loss1_l2h 0.49999], [loss2_l2h 0.49453], [loss3_l2h 0.49676], [loss4_l2h 0.49975], [lr 0.0049819963947], [loss_con 0.00243]
[iter 18], [train loss 4.48088], [loss_fuse 0.48997], [loss1_h2l 0.50631], [loss2_h2l 0.50246], [loss3_h2l 0.50126], [loss4_h2l 0.50711], [loss1_l2h 0.49499], [loss2_l2h 0.48964], [loss3_l2h 0.49190], [loss4_l2h 0.49480], [lr 0.0049808709296], [loss_con 0.00244]
[iter 19], [train loss 4.41386], [loss_fuse 0.48174], [loss1_h2l 0.49874], [loss2_h2l 0.49489], [loss3_h2l 0.49377], [loss4_h2l 0.49897], [loss1_l2h 0.48801], [loss2_l2h 0.48279], [loss3_l2h 0.48488], [loss4_l2h 0.48765], [lr 0.0049797454362], [loss_con 0.00243]
[iter 20], [train loss 4.33706], [loss_fuse 0.47259], [loss1_h2l 0.48987], [loss2_h2l 0.48612], [loss3_h2l 0.48518], [loss4_h2l 0.49040], [loss1_l2h 0.47933], [loss2_l2h 0.47490], [loss3_l2h 0.47683], [loss4_l2h 0.47945], [lr 0.0049786199146], [loss_con 0.00238]
[iter 21], [train loss 4.25998], [loss_fuse 0.46338], [loss1_h2l 0.48125], [loss2_h2l 0.47763], [loss3_h2l 0.47686], [loss4_h2l 0.48146], [loss1_l2h 0.47080], [loss2_l2h 0.46671], [loss3_l2h 0.46850], [loss4_l2h 0.47096], [lr 0.0049774943647], [loss_con 0.00242]
[iter 22], [train loss 4.20564], [loss_fuse 0.45626], [loss1_h2l 0.47530], [loss2_h2l 0.47180], [loss3_h2l 0.47120], [loss4_h2l 0.47581], [loss1_l2h 0.46451], [loss2_l2h 0.46083], [loss3_l2h 0.46254], [loss4_l2h 0.46491], [lr 0.0049763687865], [loss_con 0.00247]
[iter 23], [train loss 4.14048], [loss_fuse 0.44804], [loss1_h2l 0.46779], [loss2_h2l 0.46439], [loss3_h2l 0.46397], [loss4_h2l 0.46820], [loss1_l2h 0.45761], [loss2_l2h 0.45427], [loss3_l2h 0.45576], [loss4_l2h 0.45798], [lr 0.0049752431800], [loss_con 0.00246]
[iter 24], [train loss 4.11746], [loss_fuse 0.44425], [loss1_h2l 0.46491], [loss2_h2l 0.46161], [loss3_h2l 0.46125], [loss4_h2l 0.46592], [loss1_l2h 0.45551], [loss2_l2h 0.45229], [loss3_l2h 0.45351], [loss4_l2h 0.45570], [lr 0.0049741175452], [loss_con 0.00251]
